name,colour,category,brand,image_url
Rust linen shirt,#B7410E,upper_body,Sample,
Olive utility jacket,#6B7A3A,upper_body,Sample,
Cream oversized knit,#EFE6D5,upper_body,Sample,
Charcoal crew tee,#36454F,upper_body,Sample,
Icy pink blouse,#FF69B4,upper_body,Sample,
Royal blue oxford,#0F52BA,upper_body,Sample,
Camel wool coat,#C68642,upper_body,Sample,
Emerald knit polo,#00755E,upper_body,Sample,
Terracotta hoodie,#C67B5C,upper_body,Sample,
Powder blue shirt,#A8C0D8,upper_body,Sample,
Mustard corduroy shirt,#DAA520,upper_body,Sample,
Pure black tee,#2C2C2C,upper_body,Sample,
Optic white shirt,#FFFFFF,upper_body,Sample,
Sage overshirt,#9CAF9C,upper_body,Sample,
Chocolate suede jacket,#7B3F00,upper_body,Sample,
Lavender sweater,#B8A9C9,upper_body,Sample,
