name,colour,category,brand,image_url,template_id
City Maverick,#7e6c63,upper_body,YouCam / Edgy,https://cdn.perfectcorp.com/cms/8459f978-0962-4f1c-bea5-13fa805d3bfb/1765187405304/file.jpg,edgy_city_maverick
Chestnut Charm,#402d22,upper_body,YouCam / Edgy,https://cdn.perfectcorp.com/cms/d5807cf4-222f-463c-97a1-3b560240206e/1765187362042/file.jpg,edgy_chestnut_charm
High-Neck Lace,#efe9e2,full_body,YouCam / Wedding,https://cdn.perfectcorp.com/cms/d2569066-7953-4c90-95de-694bdc79e461/1770622192773/file.jpg,wedding_high_neck_lace
Off-Shoulder Satin,#d4d7dc,full_body,YouCam / Wedding,https://cdn.perfectcorp.com/cms/bfe5899e-4421-49b9-8d1d-de94e408b1ed/1770621771413/file.jpg,wedding_off_shoulder_satin
Cloud Ruffle,#e4e4e4,full_body,YouCam / Wedding,https://cdn.perfectcorp.com/cms/461cb2f4-b681-4642-8f2b-73a7082052e8/1770623586239/file.jpg,wedding_cloud_ruffle
Coquette Bow Knit,#8a4b47,upper_body,YouCam / Modern,https://cdn.perfectcorp.com/cms/2494a6a1-b1bd-4016-a298-4e57e3783396/1768285526583/file.jpg,modern_coquette_bow_knit
Glitter Glam Gown,#ecddce,full_body,YouCam / Modern,https://cdn.perfectcorp.com/cms/e761f5ca-c9ca-4588-9e83-98b010b2cfde/1768285552757/file.jpg,modern_glitter_glam_gown
Pink Tulle Mini,#f8d5e4,full_body,YouCam / Modern,https://cdn.perfectcorp.com/cms/b25375f2-dffa-451e-b0db-949edb87f4ce/1768285577566/file.jpg,modern_pink_tulle_mini
United States,#092674,upper_body,YouCam / Sports,https://cdn.perfectcorp.com/cms/f07473ba-6213-48c3-9c83-5eca7980e47d/1779935451821/file.jpg,sports_united_states
Morocco,#a21a1d,upper_body,YouCam / Sports,https://cdn.perfectcorp.com/cms/0a9aa8fe-4041-47be-bd6f-c3093da03272/1779878845813/file.jpg,sports_morocco
Senegal,#196c2e,upper_body,YouCam / Sports,https://cdn.perfectcorp.com/cms/b29e24df-e84d-4165-af1a-1d5667198bfc/1779879009877/file.jpg,sports_senegal
Japan,#0b2c78,upper_body,YouCam / Sports,https://cdn.perfectcorp.com/cms/4a441038-5cfd-46bd-b08b-66c8010ba176/1779935269118/file.jpg,sports_japan
Croatia,#da0617,upper_body,YouCam / Sports,https://cdn.perfectcorp.com/cms/ff6f1bc8-1f43-462f-9680-28cc9c1c2d53/1779935247096/file.jpg,sports_croatia
Uruguay,#a8c3e8,upper_body,YouCam / Sports,https://cdn.perfectcorp.com/cms/5319bf86-520c-4085-8809-af7e4b559dde/1779936032098/file.jpg,sports_uruguay
Portugal,#9f0e0f,upper_body,YouCam / Sports,https://cdn.perfectcorp.com/cms/94fbe903-d689-42c1-bceb-1966381d7117/1779935978223/file.jpg,sports_portugal
Netherlands,#fd5f0c,upper_body,YouCam / Sports,https://cdn.perfectcorp.com/cms/5018ff0a-6cc2-4715-afb0-7245368a21ef/1779935925488/file.jpg,sports_netherlands
Germany,#e8e8e8,upper_body,YouCam / Sports,https://cdn.perfectcorp.com/cms/f048ee31-9b46-4d64-b296-175fb6e72e09/1779935886023/file.jpg,sports_germany
France,#08369a,upper_body,YouCam / Sports,https://cdn.perfectcorp.com/cms/c3fc8a8c-531f-4348-a3cb-1e7d745a7851/1779935753000/file.jpg,sports_france
Denmark,#dd011b,upper_body,YouCam / Sports,https://cdn.perfectcorp.com/cms/651b56df-c3c7-42a5-b0e5-9adf9b4e8827/1779935512449/file.jpg,sports_denmark
South Korea,#65273f,upper_body,YouCam / Sports,https://cdn.perfectcorp.com/cms/b6204671-8f05-410d-8be2-e7788bbbaca4/1779935377894/file.jpg,sports_south_korea
